Id,SalePrice
1461,129414.87
1462,159584.25
1463,180648.24
1464,181461.0
1465,199472.69
1466,183061.72
1467,164773.82
1468,176737.6
1469,178449.55
1470,122478.5
1471,201771.74
1472,93333.5
1473,95773.0
1474,154534.32
1475,148155.57
1476,374552.08
1477,251751.85
1478,305092.33
1479,246896.5
1480,459574.56
1481,293151.68
1482,212189.93
1483,176134.49
1484,178390.58
1485,172228.97
1486,198464.79
1487,324584.67
1488,245121.51
1489,200632.96
1490,192685.98
1491,188068.7
1492,101970.29
1493,170951.82
1494,298208.7
1495,294129.86
1496,234740.58
1497,191312.85
1498,156000.67
1499,153666.49
1500,147760.78
1501,173595.85
1502,171558.8
1503,283670.49
1504,225294.24
1505,216862.64
1506,184148.24
1507,222251.4
1508,195903.74
1509,164448.5
1510,149878.75
1511,152116.75
1512,168445.58
1513,157234.73
1514,162993.87
1515,180897.82
1516,161412.85
1517,151655.37
1518,132390.4
1519,224959.5
1520,137008.0
1521,145190.25
1522,169015.0
1523,113900.34
1524,123509.18
1525,126755.65
1526,128545.75
1527,99710.94
1528,127023.5
1529,144135.5
1530,164525.5
1531,129685.06
1532,107371.0
1533,147103.83
1534,115635.88
1535,160136.0
1536,119553.18
1537,73112.72
1538,187325.56
1539,240744.75
1540,122234.21
1541,150893.19
1542,139624.84
1543,221943.58
1544,79461.76
1545,103434.04
1546,129627.5
1547,135453.16
1548,139257.61
1549,117608.76
1550,146175.32
1551,121673.76
1552,149735.33
1553,141398.05
1554,111962.28
1555,171216.72
1556,102983.3
1557,136565.67
1558,98973.86
1559,125977.92
1560,159247.68
1561,155065.0
1562,124288.08
1563,125031.93
1564,161562.61
1565,155996.89
1566,207892.9
1567,78720.11
1568,223884.68
1569,143150.37
1570,124802.19
1571,131509.34
1572,147970.75
1573,239814.6
1574,122997.14
1575,212361.9
1576,210222.74
1577,195218.5
1578,154727.39
1579,139408.2
1580,188414.46
1581,139859.0
1582,129642.6
1583,334369.81
1584,245605.13
1585,141136.0
1586,74440.79
1587,105414.99
1588,150117.71
1589,101825.47
1590,132793.58
1591,106794.84
1592,130887.01
1593,120476.71
1594,141253.86
1595,124842.81
1596,238755.84
1597,156814.9
1598,179839.68
1599,216164.2
1600,197737.02
1601,80728.83
1602,118980.83
1603,94374.06
1604,280559.0
1605,249116.33
1606,164496.62
1607,165783.98
1608,217184.44
1609,187459.5
1610,158980.89
1611,148189.5
1612,148731.47
1613,167240.71
1614,120974.43
1615,86421.0
1616,81433.86
1617,87550.21
1618,124862.58
1619,130949.0
1620,151326.1
1621,136769.09
1622,145688.17
1623,291532.31
1624,213359.0
1625,132255.33
1626,168283.58
1627,186973.0
1628,289673.74
1629,175174.15
1630,339920.33
1631,225198.52
1632,246228.33
1633,169049.17
1634,179653.15
1635,179494.22
1636,160057.78
1637,173992.24
1638,222140.91
1639,179409.5
1640,250163.87
1641,174977.75
1642,218426.96
1643,222117.97
1644,221299.69
1645,177041.56
1646,154358.0
1647,165676.65
1648,141830.0
1649,138362.75
1650,121091.76
1651,119096.74
1652,91509.5
1653,100631.0
1654,158891.52
1655,162012.22
1656,154755.15
1657,155997.52
1658,155248.32
1659,150152.17
1660,145220.76
1661,423710.27
1662,394924.38
1663,377245.06
1664,450637.6
1665,311118.95
1666,319870.88
1667,343229.07
1668,322083.89
1669,303008.5
1670,325922.99
1671,260286.08
1672,495139.26
1673,301758.76
1674,255405.89
1675,187534.14
1676,190364.8
1677,211258.63
1678,473503.89
1679,379140.5
1680,319181.74
1681,259819.31
1682,295830.5
1683,189317.44
1684,171058.1
1685,176921.1
1686,169353.79
1687,166391.56
1688,186186.78
1689,187122.58
1690,182419.45
1691,175172.75
1692,269591.78
1693,170399.24
1694,183769.5
1695,167868.7
1696,268115.27
1697,170198.45
1698,342582.59
1699,331755.71
1700,246094.75
1701,263499.56
1702,255219.24
1703,253402.19
1704,290164.81
1705,236692.85
1706,448187.34
1707,213375.58
1708,218167.97
1709,289915.7
1710,229300.05
1711,256394.09
1712,244754.49
1713,241098.1
1714,223488.12
1715,201412.26
1716,167462.39
